Rozmiar tablicy	Dlugosc ciagu	Operacje
250	31900	151.160000
250	32000	153.060000
250	32100	152.990000
250	32200	151.620000
250	32300	156.440000
250	32400	153.580000
250	32500	153.160000
250	32600	153.200000
250	32700	156.780000
250	32800	154.010000
250	32900	156.230000
250	33000	158.690000
250	33100	156.220000
250	33200	157.580000
250	33300	159.480000
250	33400	159.220000
250	33500	158.020000
250	33600	160.110000
250	33700	159.070000
250	33800	159.160000
250	33900	161.880000
250	34000	159.820000
250	34100	162.700000
250	34200	160.550000
250	34300	161.760000
250	34400	165.100000
250	34500	163.320000
250	34600	162.020000
250	34700	166.400000
250	34800	165.990000
250	34900	166.110000
250	35000	165.960000
250	35100	167.240000
250	35200	166.270000
250	35300	167.790000
250	35400	170.600000
250	35500	169.530000
250	35600	171.160000
250	35700	168.020000
250	35800	169.100000
250	35900	170.620000
250	36000	171.580000
250	36100	171.730000
250	36200	173.040000
250	36300	172.840000
250	36400	172.520000
250	36500	172.750000
250	36600	173.730000
250	36700	171.930000
250	36800	175.150000
250	36900	175.780000
250	37000	173.790000
250	37100	177.730000
250	37200	177.900000
250	37300	177.590000
250	37400	177.640000
250	37500	178.760000
250	37600	179.840000
250	37700	181.520000
250	37800	180.300000
250	37900	180.610000
250	38000	182.230000
250	38100	181.930000
250	38200	182.710000
250	38300	182.120000
250	38400	181.350000
250	38500	182.860000
250	38600	184.720000
250	38700	183.390000
250	38800	182.320000
250	38900	184.330000
250	39000	183.730000
250	39100	186.410000
250	39200	186.710000
250	39300	185.770000
250	39400	186.380000
250	39500	186.620000
250	39600	189.950000
250	39700	189.170000
250	39800	189.780000
250	39900	188.730000
250	40000	190.360000
250	40100	190.360000
250	40200	191.250000
250	40300	189.490000
250	40400	191.860000
250	40500	193.100000
250	40600	193.880000
250	40700	194.320000
250	40800	193.110000
250	40900	193.320000
250	41000	194.340000
250	41100	194.410000
250	41200	196.630000
250	41300	195.540000
250	41400	198.170000
250	41500	197.250000
250	41600	197.170000
250	41700	199.530000
250	41800	198.050000
250	41900	200.960000
250	42000	199.080000
250	42100	199.710000
250	42200	201.020000
250	42300	204.230000
250	42400	198.570000
250	42500	201.770000
250	42600	202.830000
250	42700	201.960000
250	42800	202.730000
250	42900	202.880000
250	43000	205.250000
250	43100	203.320000
250	43200	204.240000
250	43300	206.940000
250	43400	202.810000
250	43500	207.730000
250	43600	206.340000
250	43700	205.360000
250	43800	209.020000
250	43900	208.720000
250	44000	210.100000
250	44100	207.120000
250	44200	212.660000
250	44300	211.720000
250	44400	208.630000
250	44500	213.080000
250	44600	211.390000
250	44700	213.660000
250	44800	212.170000
250	44900	212.930000
250	45000	215.110000
250	45100	214.040000
250	45200	213.650000
250	45300	214.710000
250	45400	214.650000
250	45500	213.690000
250	45600	216.010000
250	45700	217.370000
250	45800	219.810000
250	45900	217.790000
250	46000	217.950000
250	46100	221.870000
250	46200	219.910000
250	46300	218.080000
250	46400	216.670000
250	46500	218.390000
250	46600	223.030000
250	46700	220.400000
250	46800	224.490000
250	46900	223.590000
250	47000	223.070000
250	47100	225.550000
250	47200	226.050000
250	47300	225.720000
250	47400	226.320000
250	47500	225.770000
250	47600	224.640000
250	47700	225.830000
250	47800	226.690000
250	47900	226.640000
250	48000	231.060000
250	48100	228.630000
250	48200	227.960000
250	48300	233.150000
250	48400	229.420000
250	48500	229.260000
250	48600	232.420000
250	48700	231.110000
250	48800	231.400000
250	48900	232.690000
250	49000	232.460000
250	49100	233.840000
250	49200	232.230000
250	49300	235.110000
250	49400	235.450000
250	49500	234.670000
250	49600	235.100000
250	49700	237.410000
250	49800	233.730000
250	49900	237.000000
250	50000	237.900000
