Rozmiar tablicy	Dlugosc ciagu	Operacje
250	31900	151.850000
250	32000	152.960000
250	32100	156.000000
250	32200	152.310000
250	32300	153.710000
250	32400	152.150000
250	32500	154.680000
250	32600	151.870000
250	32700	159.010000
250	32800	155.920000
250	32900	156.160000
250	33000	155.820000
250	33100	158.040000
250	33200	160.110000
250	33300	157.830000
250	33400	158.460000
250	33500	157.730000
250	33600	159.370000
250	33700	160.520000
250	33800	158.820000
250	33900	161.710000
250	34000	162.110000
250	34100	160.620000
250	34200	162.110000
250	34300	163.270000
250	34400	163.490000
250	34500	165.170000
250	34600	165.020000
250	34700	164.170000
250	34800	165.650000
250	34900	165.590000
250	35000	163.750000
250	35100	164.560000
250	35200	165.360000
250	35300	168.890000
250	35400	167.710000
250	35500	168.240000
250	35600	168.550000
250	35700	168.470000
250	35800	170.510000
250	35900	171.610000
250	36000	170.760000
250	36100	169.980000
250	36200	172.580000
250	36300	171.640000
250	36400	172.550000
250	36500	172.470000
250	36600	174.840000
250	36700	173.960000
250	36800	173.190000
250	36900	176.160000
250	37000	175.750000
250	37100	176.620000
250	37200	177.410000
250	37300	176.810000
250	37400	175.710000
250	37500	177.160000
250	37600	180.470000
250	37700	180.860000
250	37800	180.760000
250	37900	180.980000
250	38000	181.510000
250	38100	181.890000
250	38200	180.050000
250	38300	180.840000
250	38400	183.910000
250	38500	182.380000
250	38600	183.200000
250	38700	182.100000
250	38800	183.090000
250	38900	183.730000
250	39000	185.430000
250	39100	186.560000
250	39200	186.660000
250	39300	183.730000
250	39400	185.600000
250	39500	190.710000
250	39600	186.700000
250	39700	187.630000
250	39800	187.620000
250	39900	189.170000
250	40000	189.910000
250	40100	191.490000
250	40200	190.560000
250	40300	192.420000
250	40400	192.720000
250	40500	192.260000
250	40600	191.190000
250	40700	194.660000
250	40800	193.860000
250	40900	192.910000
250	41000	193.370000
250	41100	198.280000
250	41200	197.290000
250	41300	194.460000
250	41400	198.120000
250	41500	197.810000
250	41600	194.980000
250	41700	198.990000
250	41800	196.100000
250	41900	200.870000
250	42000	200.580000
250	42100	200.480000
250	42200	197.410000
250	42300	198.060000
250	42400	199.960000
250	42500	202.680000
250	42600	203.760000
250	42700	202.280000
250	42800	205.300000
250	42900	205.780000
250	43000	200.450000
250	43100	206.070000
250	43200	203.880000
250	43300	205.800000
250	43400	207.440000
250	43500	207.030000
250	43600	207.240000
250	43700	208.470000
250	43800	208.300000
250	43900	207.320000
250	44000	208.720000
250	44100	208.840000
250	44200	212.470000
250	44300	210.460000
250	44400	210.550000
250	44500	213.970000
250	44600	214.320000
250	44700	212.800000
250	44800	213.140000
250	44900	212.780000
250	45000	212.990000
250	45100	215.500000
250	45200	214.920000
250	45300	219.630000
250	45400	216.430000
250	45500	214.120000
250	45600	214.690000
250	45700	218.210000
250	45800	216.620000
250	45900	216.530000
250	46000	219.910000
250	46100	217.260000
250	46200	219.400000
250	46300	219.420000
250	46400	220.000000
250	46500	219.730000
250	46600	221.420000
250	46700	224.560000
250	46800	220.890000
250	46900	222.100000
250	47000	221.630000
250	47100	222.990000
250	47200	222.920000
250	47300	223.310000
250	47400	226.180000
250	47500	224.820000
250	47600	222.900000
250	47700	224.360000
250	47800	229.660000
250	47900	227.340000
250	48000	228.040000
250	48100	228.770000
250	48200	229.040000
250	48300	225.210000
250	48400	230.970000
250	48500	231.670000
250	48600	228.740000
250	48700	230.840000
250	48800	232.860000
250	48900	233.430000
250	49000	231.000000
250	49100	235.580000
250	49200	236.140000
250	49300	234.040000
250	49400	235.620000
250	49500	235.570000
250	49600	236.800000
250	49700	237.500000
250	49800	235.710000
250	49900	236.230000
250	50000	235.010000
250	50100	235.940000
250	50200	238.090000
250	50300	238.040000
250	50400	240.490000
250	50500	242.620000
250	50600	239.830000
250	50700	241.180000
250	50800	240.350000
250	50900	244.270000
250	51000	238.530000
250	51100	242.580000
250	51200	241.430000
250	51300	245.020000
250	51400	247.360000
250	51500	246.060000
250	51600	241.900000
250	51700	244.970000
250	51800	245.050000
250	51900	248.320000
250	52000	245.660000
250	52100	247.960000
250	52200	249.510000
